MissionID,MissionName,Agency,LaunchSite,LaunchDate,PayloadMassKG,OrbitType,MissionSuccess
MSN00000,ISS Resupply,Roscosmos,Cape Canaveral,2001-04-21,7898.62,LEO,Success
MSN00001,Shenzhou,Blue Origin,Satish Dhawan,2013-02-08,4934.32,GTO,Success
MSN00002,SpaceX,NASA,Jiuquan,2007-06-16,7075.61,ISS,Success
MSN00003,ISS Resupply,Roscosmos,Guiana Space Centre,2005-01-11,4902.32,ISS,Success
MSN00004,Soyuz,Roscosmos,Jiuquan,2003-04-20,3233.89,ISS,Success
MSN00005,SpaceX,Blue Origin,Satish Dhawan,2004-01-16,7248.35,ISS,Success
MSN00006,SpaceX,Blue Origin,Satish Dhawan,2020-02-02,8267.74,MEO,Success
MSN00007,ISS Resupply,ESA,Vandenberg,2012-08-20,2958.8,LEO,Success
MSN00008,Gemini,Blue Origin,Jiuquan,2008-07-06,2921.14,ISS,Partial
MSN00009,Soyuz,ESA,Jiuquan,2012-08-11,5079.96,ISS,Partial
MSN00010,ISS Resupply,CNSA,Jiuquan,2008-02-28,6912.26,Mars Transfer Orbit,Success
MSN00011,Soyuz,Blue Origin,Cape Canaveral,2023-02-20,2732.36,HEO,Success
MSN00012,Soyuz,NASA,Satish Dhawan,2023-09-28,5454.03,HEO,Success
MSN00013,SpaceX,Roscosmos,Baikonur,2015-02-12,3819.15,LEO,Success
MSN00014,Shenzhou,NASA,Cape Canaveral,2011-01-27,6401.66,Mars Transfer Orbit,Success
MSN00015,Soyuz,ISRO,Cape Canaveral,2001-02-25,3404.23,GTO,Success
MSN00016,Blue Origin,Blue Origin,Cape Canaveral,2018-05-01,6543.61,ISS,Success
MSN00017,SpaceX,Roscosmos,Vandenberg,2015-04-23,4683.57,MEO,Success
MSN00018,Gemini,NASA,Baikonur,2023-11-12,3125.72,HEO,Success
MSN00019,Shenzhou,Blue Origin,Jiuquan,2012-04-24,5127.38,ISS,Success
MSN00020,Blue Origin,Blue Origin,Vandenberg,2004-04-18,1124.05,GTO,Success
MSN00021,Blue Origin,CNSA,Satish Dhawan,2022-06-24,3881.81,MEO,Success
MSN00022,Gemini,CNSA,Guiana Space Centre,2023-04-22,5674.8,HEO,Success
MSN00023,Shenzhou,Roscosmos,Vandenberg,2005-04-10,1456.49,Mars Transfer Orbit,Success
MSN00024,SpaceX,ISRO,Guiana Space Centre,2020-01-08,-142.27,GTO,Success
